mse,rmse,mae,me,model,seed
6.341173369720326,2.5181686539468173,1.6541195468998082,0.12197443024653251,dual,1
6.47442950330396,2.5444900281400122,1.681011492418441,0.1814301107063393,dual,2
6.406324147434682,2.5310717388953403,1.6360470652757417,-0.01939945921882783,dual,3
6.452111171628073,2.540100622343153,1.6362002049796645,-0.030626327667014258,dual,4
6.368887633001903,2.5236655152777088,1.637434702986298,0.03730073110630853,dual,5
7.04486848603107,2.654217113581907,1.7327160538622624,0.08415355752012404,early,1
7.041612572553879,2.653603695459041,1.7399527802435115,0.19513459081972218,early,2
7.154346919440451,2.6747610957692,1.7911833211351524,0.41889665007226584,early,3
6.785059669527164,2.6048147092503844,1.70140638322718,0.1434305963184871,early,4
6.99629982973511,2.645051952180734,1.781067793596882,0.42220449433628454,early,5
7.04215836082448,2.653706532536045,1.723325857377377,0.0818866623292587,opt,1
7.247195470918474,2.6920615652169757,1.7696847497773822,0.19356787801795108,opt,2
7.069168523537799,2.6587908010104515,1.7396548610027813,0.14692205352257465,opt,3
7.127418271818753,2.6697225083927267,1.743996601386641,0.2213512428009313,opt,4
7.071732265034156,2.6592728827696783,1.7398845670964207,0.08063942398305468,opt,5
15.628170751487712,3.9532481267291724,2.7493496565527016,-0.11569533805656,sar,1
15.203928102304292,3.8992214738719695,2.7828745729713424,0.22177047015539442,sar,2
15.03402683112311,3.8773737027946003,2.726498923952781,0.015173448334633476,sar,3
15.913788368689223,3.9892089903499945,2.8048831999251935,0.14565629606170485,sar,4
15.774663517815032,3.9717330622556988,2.7753862360276726,-0.0250321994248482,sar,5
